messages;labels
"​​Главное за день:

• Минобороны РФ: при буксировке крейсера «Москва» в порт назначения из-за повреждений корпуса, полученных в ходе пожара от детонации боезапаса, корабль потерял остойчивость. В условиях штормового волнения моря корабль затонул;

• В Москве арестован сооснователь онлайн-площадки по продаже наркотиков «Гидра» Дмитрий Павлов;

• Джо Байден заявил, что готов приехать в Киев;

• Три села в Белгородской области подверглись обстрелу. Местные власти утверждают, что обстреляли со стороны Украины и есть пострадавшие;

• В ранее обстрелянном селе Брянской области установлено 8 пострадавших, 6 из которых госпитализированы, а двое находятся в тяжёлом состоянии. 100 домов получили ущерб;

• ООН: за время боевых действий погибли 1964 мирных жителя Украины, 2613 ранены;

• Команда Украины заменит сборную России на чемпионате мира по волейболу 2022 года;

• Белый дом: США не будет в будущем возвращать российским бизнесменам арестованные активы;

• Журнал и сайт National Geographic приостанавливают свою работу в России;

• Bloomberg: Еврокомиссия решила, что оплата в рублях за российский газ будет нарушением санкций;

• Лычаковский райсуд Львова арестовал 154 объекта движимого и недвижимого имущества семьи Медведчука, сообщает госбюро расследований;

• Полностью импортозамещённая версия самолёта SSJ100 с российским двигателем появится в конце 2023 года, заявил министр промышленности и торговли РФ; 

• «Бессмертный полк» в России в этом году пройдёт в очном формате. Также в акцию могут включить портреты военных погибших во время «спецоперации» в Украине, если этого захотят их родственники;

• Московский суд заменил Любови Соболь ограничение свободы на полгода колонии по «санитарному делу».

Курсы валют от ЦБ РФ на завтра:
Доллар — 81,29
Евро — 88";0
"Минобороны РФ: при буксировке крейсера «Москва» в порт назначения из-за повреждений корпуса, полученных в ходе пожара от детонации боезапаса, корабль потерял остойчивость.

В условиях штормового волнения моря корабль затонул";0
"Путин создал межведомственную комиссию Совбеза по обеспечению технологического суверенитета в сфере развития IT-инфраструктуры.

Её возглавит Дмитрий Медведев";0
Джо Байден заявил, что готов приехать в Киев;0
В Москве арестован сооснователь онлайн-площадки по продаже наркотиков «Гидра» Дмитрий Павлов, сообщили в суде;0
Команда Украины заменит сборную России на чемпионате мира по волейболу 2022 года;0
"Главное к 20:30:

• 3 села в Белгородской области подверглось обстрелу предположительно со стороны Украины, губернатор региона сообщил об 1 пострадавшем;

• В ранее обстрелянном селе Брянской области установлено 8 пострадавших, 6 из которых госпитализированы, а двое находятся в тяжёлом состоянии. 100 домов получили ущерб;

• ООН: за время боевых действий погибли 1964 мирных жителя Украины, 2613 ранены;

• В Петербурге и Севастополе суды, вокзалы, ТЦ и детсады получили массовые сообщения о минировании;

• СНБО Украины приостанавливает деятельность партии «Оппозиционная платформа — За жизнь» в Верховной Раде;

• Белый дом: США не будет в будущем возвращать российским бизнесменам арестованные активы;

• Журнал и сайт National Geographic приостанавливают свою работу в России;

Курсы валют от ЦБ РФ на завтра:

Доллар — 81,29
Евро — 88";0
ООН: за время боевых действий погибли 1964 мирных жителя Украины, 2613 ранены;0
"​​Понять, что ты состоишь в абьюзивных отношениях, тяжело, а ещё тяжелее — выйти из них.

Но истории девушек, которым удалось выйти из таких отношений, могут помочь и вам: http://news.lenta.ch/jpbgA";0
Обстрелу со стороны Украины подверглось ещё одно село, Журавлёвка, сообщает губернатор Белгородской области;0
Журнал и сайт National Geographic приостанавливают свою работу в России;0
Минздрав РФ сообщает о 8 пострадавших в Брянской области, 6 из которых госпитализированы, а двое находятся в тяжёлом состоянии;0
Путин поручил расширить программу газификации регионов России;0
СНБО Украины приостанавливает деятельность партии «Оппозиционная платформа — За жизнь» в Верховной Раде;0
"Курсы валют от ЦБ РФ на завтра:

Доллар — 81,29
Евро — 88";0
Белый дом: США не будет в будущем возвращать российским бизнесменам арестованные активы;0
"Как минимум в двух городах — Петербурге и Севастополе — получили массовые сообщения о минировании.

В Петербурге СМИ сообщили о письмах о минировании от имени Дани Милохина в адрес 12 районных судов. В Севастополе похожие письма прилетели на вокзалы, в детсады, ТЦ и суды. Полиция уже проверяет информацию";0
"Село Белгородской области подверглось обстрелу со стороны Украины, пострадавших мирных жителей нет — ТАСС.

Жители двух других пограничных сёл эвакуированы, сообщил губернатор области";0
"​​Помните заявления Минобороны РФ про биолаборатории в Украине, где американцы исследовали передачу смертельных бактерий и «этнического оружия» с помощью птиц и летучих мышей?

Теперь Минобороны утверждает, что американцы изучали передачу бактерий водным путём — через украинские реки.

А ещё они заявляют, что в Украине испытывали потенциально опасные биологические препараты на пациентах психиатрической больницы в Харькове. Но пару месяцев назад работа этой лаборатории была остановлена, а всё оборудование и препараты вывезли";0
"​​Главное к 15:00:

— Bloomberg: Еврокомиссия решила, что оплата в рублях за российский газ будет нарушением санкций;

— Лычаковский райсуд Львова арестовал 154 объекта движимого и недвижимого имущества семьи Медведчука, сообщает госбюро расследований;

— В Брянской области заявили о семи пострадавших в результате обстрела;

— В Минобороны РФ дали комментарий о крейсере «Москва»: Очаг возгорания на крейсере «Москва» локализован. Открытого горения нет. Взрывы боеприпасов прекращены;

— В Амурской области оштрафовали участников автопробега в поддержку «спецоперации в Украине;

— Полностью импортозамещённая версия самолёта SSJ100 с российским двигателем появится в конце 2023 года, заявил министр промышленности и торговли РФ;

— «Бессмертный полк» в России в этом году пройдёт в очном формате. Также в акцию могут включить портреты военных погибших во время «спецоперации» в Украине, если этого захотят их родственники;

— Московский суд заменил Любови Соболь ограничение свободы на полгода колонии по «санитарному делу»";0
"Губернатор Брянской области заявил, что ВСУ обстреляли поселок Климово. В результате обстрела пострадали два жилых дома.  

Семь человек, в том числе беременная женщина и ребенок, получили ранения, заявили ТАСС";0
Парламент Молдавии официально запретил Георгиевскую ленточку в стране;0
Московский суд заменил Любови Соболь ограничение свободы на полгода колонии по «санитарному делу»;0
"Bloomberg: Илон Маск предложил выкупить все акции Твиттера по 54,2 доллара за акцию при рыночной цене 45,85 доллара. 

В случае сделки весь Twitter будет оценён в сумму около $43 млрд";0
"В акцию «Бессмертный полк» могут включить портреты военных погибших во время «спецоперации» в Украине, если этого захотят их родственники. 

Об этом заявила сопредседатель Центрального штаба движения ""Бессмертный полк России"", депутат Госдумы Елена Цунаева";0
"​​В прошлом году первый твит основателя Twitter в виде NFT продали за 2,9 миллиона долларов. Покупателем стал стартапер Сина Эстави.

На прошлой неделе он решил повторно выставить NFT на аукцион, где планировал заработать 50 миллионов долларов и отдать половину выручки благотворительность. Но в итоге смог продать токен лишь за $6849,30";0
"В Минобороны РФ дали комментарий о крейсере «Москва»:

— Очаг возгорания на крейсере «Москва» локализован. Открытого горения нет. Взрывы боеприпасов прекращены;

— Крейсер «Москва» сохраняет плавучесть. Основное ракетное вооружение не повреждено;

— Экипаж был эвакуирован;

— Причины пожара устанавливаются.";0
"ФНС порекомендовала отправлять электронную почту только с российских почтовых доменов (.ru и .su).

«Это сделано в соответствии с рекомендациями ФСТЭК России для защиты сервиса электронной почты ФНС России от внешнего негативного влияния (компьютерные атаки, вредоносные программы и т.д.)», — сообщили в ведомстве";0
"​​В России — 11 348 заболевших коронавирусом за последние сутки в 85 регионах.

Из них 868 — в Москве, 612 — в Свердловской области и 604 — в Санкт-Петербурге.

Выздоровели: 21 853 человека
Умерли: 254 человека

#coronavirus";0
«Бессмертный полк» в России в этом году пройдёт в очном формате;0
Полностью импортозамещённая версия самолёта SSJ100 с российским двигателем появится в конце 2023 года, заявил министр промышленности и торговли РФ Денис Мантуров;0
"В Амурской области оштрафовали участников автопробега в поддержку «спецоперации в Украине».

Как выяснилось, участники автопробега нарушили правила дорожного движения — во время автопробега машины пересекли двойную сплошную. Каждого из нарушителей оштрафовали на 5000 рублей, не помогло даже сопровождение сотрудников ГИБДД

¯\_(ツ)_/¯";0
"Лычаковский райсуд Львова арестовал 154 объекта движимого и недвижимого имущества семьи Медведчука, сообщает госбюро расследований.

Среди арестованного имущества: 
— 26 автомобилей
— 30 земельных участков 
— 23 дома 
— 32 квартиры
— 17 паркомест 
— Моторная яхта
— Доли в уставных капиталах в 25 компаниях";0
Минпромторг России сообщил, что договорился с рядом металлургических компаний об установлении фиксированной цены на цветные металлы для внутреннего рынка;0
"Bloomberg: Еврокомиссия решила, что оплата в рублях за российский газ будет нарушением санкций.

Также Еврокомиссия считает, что оплата в рублях является нарушением контрактов на поставки, условия которых не предусматривают смену валюты платежа";0
"​​Главное за ночь:

— Австралия ввела санкции против «Газпрома», «Транснефти» и ещё 12 компаний из РФ;

— В России зарегистрирован первый в мире изотермический тест, способный выявить два различных участка генома коронавируса;

— Infosys (индийская компания, разрабатывающая программное обеспечение) закрывает представительство в России;

— Правообладатель запретил доступ к шрифтам Times New Roman и Arial для клиентов из РФ";0
"​​Шашлындос на природе — дело хорошее. Но помешать этому может коварный клещ. 

Ловите гайд, что делать, если вас укусил этот паразит:  http://news.lenta.ch/jp6I3";0
"Минобороны РФ: В результате пожара на ракетном крейсере ""Москва"" сдетонировал боезапас, корабль получил серьезные повреждения. Экипаж полностью эвакуирован, причины пожара устанавливаются.

Чуть ранее глава Одесской областной военной администрации заявил, что крейсер «Москва» был атакован противокорабельными ракетами «Нептун» и получил серьёзные повреждения";0
"​​Главное за день:

— Байден в телефонном разговоре сообщил Зеленскому о выделении нового пакета военной помощи Украине на $800 миллионов. Он будет включать артиллерию, бронетранспортеры и вертолеты;

— Сегодня в Киеве Зеленский провёл встречу с президентами Польши, Литвы, Латвии и Эстонии;

— Премьер Швеции намерена в конце июня подать заявку на вступление страны в НАТО — СМИ. А премьер-министр Финляндии заявила, что парламент страны обсудит членство в НАТО на следующей неделе;

— Великобритания внесла в санкционный список еще 206 физических и юридических лиц из России;

— С 14 апреля Великобритания запретит импорт железа и стали из России;

— Швейцария запрещает импорт из России угля, водки и древесины;

— Россия ввела санкции против 398 американских конгрессменов и 87 канадских сенаторов, сообщил МИД РФ;

— IT-компании смогут оформить отсрочки от армии для своих кадров прямо в портале Госуслуг — Минцифры РФ;

— Европейское космическое агентство приостановило участие в лунных программах РФ;

— Мобильное приложение Сбербанка удалили из магазина Google Play на Android;

— Кофейная компания LavaZZa покидает российский рынок";0
В США идёт сбор доказательств, чтобы официально определить, являются ли события в Украине геноцидом, заявила заместитель госсекретаря США Виктория Нуланд;0
"Полиция Нью-Йорка задержала подозреваемого в стрельбе в городском метро Бруклина.

Суд предъявил ему обвинение в террористическом нападении";0
"Председатель Совета Федерации Валентина Матвиенко удивилась, что в России импортные даже гвозди.

Решить проблему она предложила радикально: привлечь к производству гвоздей малый и средней бизнес, который «наклепает этих гвоздей столько, что завалит всю Россию»";0
Россия ввела санкции против 398 американских конгрессменов и 87 канадских сенаторов, сообщил МИД РФ;0
"Байден в телефонном разговоре сообщил Зеленскому о выделении нового пакета военной помощи Украине на $800 млн.

Он будет включать артиллерию, бронетранспортеры и вертолеты";0
IT-компании смогут оформить отсрочки от армии для своих кадров прямо в портале Госуслуг — Минцифры РФ;0
"Главное к 20:00:

• Швейцарией принят пятый пакет санкций против России и Беларуси, который включает в том числе запрет на импорт из РФ угля, водки и древесины;

• Интерфакс: Бесконтактная оплата картой «Мир» больше не работает через SberPay;

• Европейское космическое агентство приостановило участие в лунных программах РФ;

• В СМИ распространилось якобы видео BBC с информацией о спецоперации, однако сама служба утверждает, что это подделка;

• Владельца горно-алтайской газеты «Листок» задержали в Люберцах по статье «Публичное распространение заведомо ложной информации об использовании ВС РФ»;

• Кофейная компания Lavazza покидает российский рынок;

• EA Sports удалила из FIFA 22  сборную РФ, все российские клубы и сопутствующую им атрибутику";0
"Владельца горно-алтайской газеты «Листок» Сергея Михайлова задержали в Люберцах по статье «Публичное распространение заведомо ложной информации об использовании ВС РФ».

Сейчас в квартирах сотрудников газеты проходят обыски";0
Интерфакс: Бесконтактная оплата картой «Мир» больше не работает через SberPay;0
Европейское космическое агентство приостановило участие в лунных программах РФ;0
UPD: Марин Ле Пен опровергла данные сообщения, добавив, что предлагает лишь снизить степень влияния ЕС на национальную политику страны;0
EA Sports удалила из FIFA 22  сборную РФ, все российские клубы и сопутствующую им атрибутику;0
Кофейная компания LavaZZa покидает российский рынок;0
Швейцария запрещает импорт из России угля, водки и древесины;0
Ле Пен заявляет, что в случае избрания ее президентом, Франция выйдет из состава НАТО;0
Швейцарией принят пятый пакет санкций против России и Беларуси;0
"Песков прокомментировал возможность обмена Медведчука: 

«Медведчук не является гражданином России, он не имеет никакого отношения к специальной военной операции, мы вообще не знаем, хочет ли он иметь отношение к этому»";0
"В Коста-Рике откопали огромные каменные шары, сообщает Национальный институт антропологии и истории Мексики.

Отставить шутки про то, что вы их владелец: по этим шарам древние индейцы, вероятно, делали астрономические вычисления и расчёты начала и завершения земледельческих работ.

Такие же скопления шаров находили и на других континентах — в Поволжье, Коми, Калифорнии, Новой Зеландии, островах Земли Франца-Иосифа и в Боснии и Герцеговине";0
"Лукашенко на острие эпидемиологии:

«Вчера Путину говорю: слушай, ты молодец — [...] ты мгновенно в мире прекратил все коронавирусы, все выздоровели»";0
"Видели это видео от BBC? Есть один нюанс — BBC его не делало.

ВВС News заявило, что по инету расходится фейковое видео с их логотипом: «Би-би-си не публиковало такое видео, это подделка».

В компании говорят, что уже предпринимают меры для удаления этого контента из соцсетей";0
"​​Главное к 15:00:

— Великобритания внесла в санкционный список ещё 206 физических и юридических лиц из России. Среди них: Виктор Медведчук, экс-глава РЖД Владимир Якунин, совладелец «Лукойла» Вагит Аликперов, а также банки «Газпромбанк», «Открытие» и «Россия»;

— С 14 апреля Великобритания запретит импорт железа и стали из России;

— Алексей Кудрин: инфляция в России по итогам года может составить от 17 до 20%. Также председатель счётной палаты заявил, что если западные санкции сохранятся на том же уровне, то экономика России может перестроиться за два года;

— Премьер-министр Финляндии заявила, что парламент страны обсудит членство в НАТО на следующей неделе;

— Иностранные онлайн-магазины блокируют платежи по выпущенным в РФ картам UnionPay;

— The Moscow Times: Расходы из бюджета на государственные СМИ выросли втрое на фоне конфликта в Украине;

— Мобильное приложение Сбербанка удалили из магазина Google Play на Android";0
В Курской области обстрелян пограничный пункт пропуска — ТАСС;0
Матвиенко: Речи о национализации имущества иностранных компаний, уходящих из РФ, не идёт;0
С 14 апреля Великобритания запретит импорт железа и стали из России;0
Кудрин: расчеты в рублях возможны только с заинтересованными странами, рубль утратил статус свободно конвертируемой валюты;0
Кудрин: Если западные санкции сохранятся на том же уровне, то экономика России может перестроиться за два года;0
"Великобритания внесла в санкционный список еще 206 физических и юридических лиц из России.

Среди них:
– Виктор Медведчук,
– экс-глава РЖД Владимир Якунин,
– совладелец «Лукойла» Вагит Аликперов,
– банки «Газпромбанк», «Открытие» и «Россия»";0
Алексей Кудрин: инфляция в России по итогам года может составить от 17 до 20%;0
"Премьер Швеции намерена в конце июня подать заявку на вступление страны в НАТО — СМИ. 

А премьер-министр Финляндии заявила, что парламент страны обсудит членство в НАТО на следующей неделе";0
"​​The Moscow Times: Расходы из бюджета на государственные СМИ выросли втрое на фоне конфликта в Украине. 

За январь–март по статье «средства массовой информации» федеральный бюджет выделил 17,4 млрд рублей, следует из оперативной статистики Минфина.

За тот же период прошлого года расходы составили 5,4 млрд рублей";0
Яндекс.Музыка удалила подкаст BBC «Что это было?» после уведомления РКН;0
"Дмитрий Медведев прокомментировал арест Медведчука:

– Отдельные уродцы, именующие себя «украинскими властями», сообщают, что хотят выбить показания из Виктора Медведчука, затем «быстро и справедливо» осудить его, а затем обменять на пленных. Этим деятелям стоит внимательно оглядываться по сторонам и крепко запирать двери на ночь, чтобы самим не оказаться в числе обмениваемых лиц";0
"​​В России — 11 754 заболевших коронавирусом за последние сутки в 85 регионах.

Из них 933 — в Москве, 629 — в Свердловской области и 587 — в Санкт-Петербурге.

Выздоровели: 28 135 человек
Умерли: 267 человек

#coronavirus";0
"Минпромторг предупреждает о риске дефицита литиевого сырья в России из-за ухода крупнейших поставщиков — Чили и Аргентины.

«По литию проблема уже гигантская, потому что в случае, если будет отказ в поставках сырья из Боливии, то к сожалению, литиевое сырье нам брать негде. Перерабатывающие мощности у нас есть, но если не будет сырья, то очень большая может быть проблема в обеспечении собственных потребностей в литий-ионных аккумуляторах», — сообщили в ведомстве";0
Япония не обсуждает присоединение в том или ином формате к AUKUS, заявил главный секретарь правительства страны Хирокадзу Мацуно;0
"Япония получила неофициальное приглашение в альянс AUKUS — издание Sankei.

AUKUS — это трёхсторонний оборонный альянс, образованный Австралией, Великобританией и США 15 сентября 2021 года";0
Минобороны РФ: В Мариуполе добровольно сложили оружие и сдались в плен 1026 украинских военнослужащих 36-й бригады морской пехоты;0
⚡️Мобильное приложение Сбербанка удалили из магазина Google Play на Android;0
"ФСБ вчера провела обыски в офисе Аэрофлота на Арбате, соощает Baza.

Причиной обысков называют интервью бывшего замгендиректора Аэрофлота Андрея Панова, в котором он призвал «саботировать документы и контракты, которые поддерживают боевые действия», а также его позицию по «специальной военной операции в Украине».

12 марта Панов сообщил в своих соцсетях, что уволился из авиакомпании и уехал из России в Израиль";0
